"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R65","0R","Top","RES_0603","9.7500mm","-24.7500mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R64","0R","Top","RES_0603","-14.7500mm","13.2500mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R63","56k","Top","RES_0603","-11.0000mm","15.5000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R60","56k","Top","RES_0603","14.7500mm","11.7500mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R59","0R","Top","RES_0603","15.5000mm","-11.2500mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R58","56k","Top","RES_0603","49.2500mm","16.0000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R55","0R","Top","RES_0603","15.5000mm","-6.7500mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R66","56k","Top","RES_0603","0.0000mm","-16.7500mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"J6","MEM2061-01-188-00-A","Top","MEM2061-01-188-00-A","0.0000mm","-26.2500mm","180","MicroSD Card Connector Push-Push SMD"
"C75","10u","Top","CAP_0805","9.7500mm","-27.7500mm","270","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C76","100n","Top","CAP_0603","-3.2500mm","-16.7500mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"R68","56k","Top","RES_0603","71.2500mm","26.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R67","56k","Top","RES_0603","-71.2500mm","26.0000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R57","0R","Top","RES_0603","4.7500mm","-15.5000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R56","56k","Top","RES_0603","39.0000mm","12.0000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"C78","100n","Top","CAP_0603","71.2500mm","27.5000mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C77","100n","Top","CAP_0603","-71.2500mm","27.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C70","10u","Top","CAP_0805","-9.0000mm","-16.7500mm","180","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C69","100n","Top","CAP_0603","9.7500mm","-14.7500mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C68","100n","Top","CAP_0603","-8.7500mm","15.5000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C67","100n","Top","CAP_0603","-1.5000mm","14.7500mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C66","100n","Top","CAP_0603","4.0000mm","14.7500mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C65","100n","Top","CAP_0603","10.0000mm","14.7500mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C64","100n","Top","CAP_0603","14.7500mm","9.0000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C63","100n","Top","CAP_0603","14.7500mm","2.5000mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C62","100n","Top","CAP_0603","14.7500mm","-2.5000mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C61","100n","Top","CAP_0603","14.7500mm","-9.0000mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C60","100n","Top","CAP_0603","7.0000mm","-14.7500mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C59","100n","Top","CAP_0603","0.0000mm","-14.7500mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C58","100n","Top","CAP_0603","-4.0000mm","-14.7500mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C57","100n","Top","CAP_0603","-9.0000mm","-14.7500mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C56","100n","Top","CAP_0603","-14.7500mm","-8.0000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C55","100n","Top","CAP_0603","-14.7500mm","-2.0000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C54","100n","Top","CAP_0603","-14.7500mm","3.0000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C53","100n","Top","CAP_0603","-14.7500mm","9.5000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"SW1","JS202011AQN","Top","JS202011AQN","62.0000mm","51.0000mm","180","Slide Switch TH DPDT Horizontal"
"SW2","JS202011AQN","Top","JS202011AQN","-71.2500mm","20.0000mm","270","Slide Switch TH DPDT Horizontal"
"SW3","JS202011AQN","Top","JS202011AQN","71.2500mm","20.0000mm","90","Slide Switch TH DPDT Horizontal"
"R38","5k1","Top","RES_0603","-11.0000mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R73","270R","Top","RES_0603","62.5000mm","16.7500mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 270O"
"R52","5k1","Top","RES_0603","38.0000mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R33","5k1","Top","RES_0603","-49.0000mm","37.5000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R37","56k","Top","RES_0603","-11.0000mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R26","56k","Top","RES_0603","-66.5000mm","36.0000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R43","5k1","Top","RES_0603","19.0000mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R49","5k1","Top","RES_0603","49.0000mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R34","5k1","Top","RES_0603","-52.0000mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R46","5k1","Top","RES_0603","8.0000mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R70","270R","Top","RES_0603","-62.5000mm","16.7500mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 270O"
"R44","56k","Top","RES_0603","19.0000mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R54","5k1","Top","RES_0603","38.0000mm","36.0000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R51","5k1","Top","RES_0603","41.0000mm","37.5000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R39","5k1","Top","RES_0603","-19.0000mm","37.5000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R36","5k1","Top","RES_0603","-52.0000mm","36.0000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R35","5k1","Top","RES_0603","-49.0000mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R50","56k","Top","RES_0603","49.0000mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R42","5k1","Top","RES_0603","-22.0000mm","36.0000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R72","270R","Top","RES_0603","64.0000mm","16.7500mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 270O"
"R47","5k1","Top","RES_0603","11.0000mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R53","5k1","Top","RES_0603","41.0000mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R31","5k1","Top","RES_0603","-41.0000mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R32","56k","Top","RES_0603","-41.0000mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R40","5k1","Top","RES_0603","-22.0000mm","37.5000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R45","5k1","Top","RES_0603","11.0000mm","37.5000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R48","5k1","Top","RES_0603","8.0000mm","36.0000mm","0","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R69","270R","Top","RES_0603","-61.0000mm","16.7500mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 270O"
"R41","5k1","Top","RES_0603","-19.0000mm","36.0000mm","180","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R71","270R","Top","RES_0603","-64.0000mm","16.7500mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 270O"
"R19","56k","Top","RES_0603","-28.0000mm","43.2500mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R18","220k","Top","RES_0603","-26.5000mm","43.2500mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 220kO"
"C47","100n","Top","CAP_0603","19.0000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C42","100n","Top","CAP_0603","-49.0000mm","34.5000mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C45","100n","Top","CAP_0603","-19.0000mm","34.5000mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C80","100n","Top","CAP_0603","59.7500mm","20.0000mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C49","100n","Top","CAP_0603","8.0000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C79","100n","Top","CAP_0603","-65.2500mm","20.0000mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C46","100n","Top","CAP_0603","-22.0000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C52","100n","Top","CAP_0603","38.0000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C41","100n","Top","CAP_0603","-41.0000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C48","100n","Top","CAP_0603","11.0000mm","34.5000mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C50","100n","Top","CAP_0603","49.0000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C43","100n","Top","CAP_0603","-52.0000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C44","100n","Top","CAP_0603","-11.0000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C51","100n","Top","CAP_0603","41.0000mm","34.5000mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"U2","RT5760CHGH6F","Top","SOT-563","-30.0000mm","43.2500mm","270","Buck Converter Synchronous 2.5V-6V 1A 2.2MHz"
"R29","0R","Top","RES_0603","50.7500mm","7.5000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"R27","0R","Top","RES_0603","51.2500mm","21.5000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"L2","2u2","Top","XAL4020","-33.5000mm","42.0000mm","270","Inductor SMD 1616 Shielded 2.2uH 5.5A 5.6A 39mO 20%"
"J3","SFH11-PBPC-D17-ST-BK","Top","SFH11-PBPC-D17-ST-BK","43.7050mm","0.0000mm","0","Board-to-Board Connector Header TH 2.54mm Pitch Vertical Female 2 Rows 34 Positions"
